Date,Expenses,Category,Amount,Municipality,Province,Region,ID
2020-01-15,Transportation,Survival,41.0,Quezon City,Metro Manila,National Capital Region,E2020-1
2020-01-15,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-2
2020-01-16,Food/Drinks,Optional,35.0,Quezon City,Metro Manila,National Capital Region,E2020-3
2020-01-16,Eating/Going Out,Optional,139.0,Quezon City,Metro Manila,National Capital Region,E2020-4
2020-01-16,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-5
2020-01-16,Grocery,Survival,1174.93,Quezon City,Metro Manila,National Capital Region,E2020-6
2020-01-18,Home,Obligation,300.0,Quezon City,Metro Manila,National Capital Region,E2020-7
2020-01-18,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-8
2020-01-19,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-9
2020-01-19,Grocery,Survival,133.55,Quezon City,Metro Manila,National Capital Region,E2020-10
2020-01-19,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-11
2020-01-20,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-12
2020-01-20,Grocery,Survival,77.17,Quezon City,Metro Manila,National Capital Region,E2020-13
2020-01-20,Electricity/Water,Obligation,551.0,Quezon City,Metro Manila,National Capital Region,E2020-14
2020-01-20,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-15
2020-01-21,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-16
2020-01-21,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-17
2020-01-22,Phone/Internet,Optional,50.0,Quezon City,Metro Manila,National Capital Region,E2020-18
2020-01-22,Eating/Going Out,Optional,96.0,Quezon City,Metro Manila,National Capital Region,E2020-19
2020-01-22,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-20
2020-01-22,Transportation,Survival,46.0,Quezon City,Metro Manila,National Capital Region,E2020-21
2020-01-23,Food/Drinks,Optional,35.0,Quezon City,Metro Manila,National Capital Region,E2020-22
2020-01-23,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-23
2020-01-23,Grocery,Survival,174.75,Quezon City,Metro Manila,National Capital Region,E2020-24
2020-01-24,Clothing/Shoes/Personal Items,Optional,802.0,Quezon City,Metro Manila,National Capital Region,E2020-25
2020-01-25,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-26
2020-01-25,Food/Drinks,Optional,15.0,Quezon City,Metro Manila,National Capital Region,E2020-27
2020-01-26,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-28
2020-01-26,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-29
2020-01-27,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-30
2020-01-27,Grocery,Survival,119.0,Quezon City,Metro Manila,National Capital Region,E2020-31
2020-01-27,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-32
2020-01-28,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-33
2020-01-28,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-34
2020-01-29,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-35
2020-01-29,Phone/Internet,Optional,50.0,Quezon City,Metro Manila,National Capital Region,E2020-36
2020-01-29,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-37
2020-01-29,Eating/Going Out,Optional,139.0,Quezon City,Metro Manila,National Capital Region,E2020-38
2020-01-29,Food/Drinks,Optional,15.0,Quezon City,Metro Manila,National Capital Region,E2020-39
2020-01-29,Grocery,Survival,88.3,Quezon City,Metro Manila,National Capital Region,E2020-40
2020-01-30,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-41
2020-01-31,Grocery,Survival,940.05,Quezon City,Metro Manila,National Capital Region,E2020-42
2020-01-31,Electricity/Water,Obligation,130.68,Quezon City,Metro Manila,National Capital Region,E2020-43
2020-01-31,Transportation,Survival,10.0,Quezon City,Metro Manila,National Capital Region,E2020-44
2020-01-31,Food/Drinks,Optional,5.0,Quezon City,Metro Manila,National Capital Region,E2020-45
2020-02-01,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-46
2020-02-02,Transportation,Survival,20.0,Quezon City,Metro Manila,National Capital Region,E2020-47
2020-02-02,Eating/Going Out,Optional,42.0,Quezon City,Metro Manila,National Capital Region,E2020-48
2020-02-02,Transportation,Survival,28.0,Quezon City,Metro Manila,National Capital Region,E2020-49
2020-02-02,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-50
2020-02-03,Food/Drinks,Optional,30.0,Quezon City,Metro Manila,National Capital Region,E2020-51
2020-02-03,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-52
2020-02-03,Grocery,Survival,96.35,Quezon City,Metro Manila,National Capital Region,E2020-53
2020-02-03,Transportation,Survival,45.0,Quezon City,Metro Manila,National Capital Region,E2020-54
2020-02-04,Food/Drinks,Obligation,30.0,Quezon City,Metro Manila,National Capital Region,E2020-55
2020-02-04,Eating/Going Out,Optional,89.0,Quezon City,Metro Manila,National Capital Region,E2020-56
2020-02-04,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-57
2020-02-04,Debt repayment,Obligation,18.0,Quezon City,Metro Manila,National Capital Region,E2020-58
2020-02-04,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-59
